machine,cpu,gpu,gglasso,numpy,logical_cores,blas_threads,regime,p,n_samples,lambda,seed,true_sparsity,true_n_blocks,true_sizes_json,gen_style_requested,gen_n_powerlaw,gen_n_erdos,gen_n_direct,detected_n_blocks,detected_singletons,detected_sizes_json,t_admm_median,t_admm_mean,t_admm_min,t_admm_max,t_admm_std,t_admm_trials_json,t_block_median,t_block_mean,t_block_min,t_block_max,t_block_std,t_block_trials_json,algorithmic_speedup,speedup_lo,speedup_hi,admm_iterations,admm_status,block_iterations,admm_peak_mem_mb,block_peak_mem_mb,obj_admm,obj_block,obj_rel_gap,max_abs_error,max_rel_error,support_agreement,support_precision,support_recall,support_f1,trials,warmup,tol,rtol,max_iter,true_block_min,true_block_max,true_block_mean,true_block_std,true_block_median,detected_block_min,detected_block_max,detected_block_mean,detected_block_std,detected_block_median
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.05,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.01531487800002651,0.015309996222185873,0.015243639000004805,0.015438356000004205,5.973302756908886e-05,"[0.015315, 0.015438, 0.015335, 0.015244, 0.015264, 0.015328, 0.015245, 0.015323, 0.015298]",0.015894278000018858,0.015928972222228468,0.01586578199999167,0.01624334000007366,0.00011902501650460478,"[0.016243, 0.015904, 0.015894, 0.0159, 0.015892, 0.015871, 0.015875, 0.015866, 0.015916]",0.9635466298002552,0.938454714358973,0.9730598844741667,27,optimal,nan,0.9413604736328125,1.4789924621582031,101.3282147933329,101.3282147933329,0.0,0.0,0.0,1.0,0.035637612709317305,0.8736842105263158,0.06848184818481848,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.1,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.032098437000058766,0.03201968044445241,0.03160808600000564,0.03250924100007069,0.00030048592575691695,"[0.031608, 0.031736, 0.03167, 0.031971, 0.032202, 0.032509, 0.032262, 0.03212, 0.032098]",0.034704542999975274,0.03461391399998269,0.0327656949999664,0.036357254999984434,0.0011663180234790468,"[0.032766, 0.035524, 0.034705, 0.034554, 0.034893, 0.035539, 0.036357, 0.034129, 0.033059]",0.9249059121764444,0.8693749294334563,0.9921730944545515,58,optimal,nan,0.9413604736328125,1.47882080078125,108.75064998086042,108.75064998086042,0.0,0.0,0.0,1.0,0.07122507122507123,0.7894736842105263,0.13066202090592335,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.15,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.038178561999984595,0.03801959688885543,0.03757779299996855,0.03839108799991209,0.0003033956971595397,"[0.037578, 0.038391, 0.037687, 0.038179, 0.037857, 0.038239, 0.038278, 0.037736, 0.038232]",0.039497646999961944,0.03974183111108687,0.03891824799995902,0.04097582199995031,0.0006848836419184831,"[0.040686, 0.040976, 0.039673, 0.039942, 0.039493, 0.039263, 0.039498, 0.039228, 0.038918]",0.9666034536189303,0.917072340855398,0.9864546831592345,69,optimal,nan,0.9413604736328125,1.4788150787353516,111.68953343320615,111.68953343320615,0.0,0.0,0.0,1.0,0.1598173515981735,0.7368421052631579,0.2626641651031895,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.2,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,7,6,"[94, 1, 1, 1, 1, 1, 1]",0.035646070999973745,0.03575543366663522,0.03514978299995164,0.03669326199997158,0.0004270899717528293,"[0.035529, 0.035918, 0.035646, 0.036693, 0.03515, 0.035993, 0.035713, 0.035615, 0.035543]",0.03318006800009243,0.033205790888890384,0.03299722299993846,0.033759464000013395,0.0002314526558190383,"[0.033759, 0.033166, 0.032997, 0.03328, 0.033044, 0.032998, 0.03318, 0.033188, 0.033239]",1.0743218187459544,1.0411830886870033,1.112010607681744,64,optimal,nan,0.9413604736328125,1.337350845336914,110.26918219186868,110.26918209294337,8.971256557799588e-10,3.709218022172889e-05,2.8782855479359325e-05,1.0,0.40606060606060607,0.7052631578947368,0.5153846153846154,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,94.0,14.285714285714286,32.54322086840508,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.25,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,24,19,"[72, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.030787673999952858,0.03085587722220377,0.030634512999995422,0.031263778000038656,0.0002299743430151823,"[0.030883, 0.031077, 0.030688, 0.031264, 0.031062, 0.030635, 0.030788, 0.030673, 0.030635]",0.020775239000045076,0.02080808722222274,0.020683817000076488,0.02111599199997727,0.0001227499757657193,"[0.021116, 0.020794, 0.020753, 0.020767, 0.020684, 0.020788, 0.020755, 0.020841, 0.020775]",1.481940785368874,1.4507730917888395,1.511509118453477,56,optimal,nan,0.9413604736328125,0.8931522369384766,112.40185346261187,112.40185344681885,1.4050498046433226e-10,2.181245956409117e-05,1.701952591817549e-05,1.0,0.6170212765957447,0.6105263157894737,0.6137566137566138,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,72.0,4.166666666666667,14.15293452099442,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.3,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,45,26,"[22, 8, 5, 5, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.031452560000047924,0.03164912277779624,0.031150988000035795,0.03231572100003177,0.00043753415364165864,"[0.031453, 0.031289, 0.031449, 0.031326, 0.031151, 0.031563, 0.032248, 0.032049, 0.032316]",0.009405728999922758,0.009466413222197743,0.009192016999918451,0.00979159900009563,0.00022077606526520703,"[0.009792, 0.009591, 0.009674, 0.009406, 0.009376, 0.009672, 0.009267, 0.009229, 0.009192]",3.343978972847955,3.1813994833460355,3.5156289419741573,57,optimal,nan,0.9413604736328125,0.7072296142578125,112.72103087499994,112.72103087555678,4.939966631231145e-12,7.40257507958475e-06,5.6093019047691855e-06,1.0,0.847457627118644,0.5263157894736842,0.6493506493506493,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,22.0,2.2222222222222223,3.272028856765504,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.35,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,47,25,"[23, 5, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.029587325999955283,0.029653946111087254,0.0295148989999916,0.029875838000066324,0.00011499829946636189,"[0.029515, 0.029738, 0.029732, 0.029702, 0.029579, 0.029581, 0.029876, 0.029587, 0.029574]",0.010458857999992688,0.010522576444423571,0.010385245999941617,0.010727187000043159,0.00013008314555338008,"[0.010727, 0.010721, 0.010608, 0.010459, 0.010385, 0.010417, 0.010443, 0.010493, 0.010448]",2.8289251082647806,2.751410877788637,2.876757854386336,54,optimal,nan,0.9413604736328125,0.7091779708862305,114.56348031185257,114.5634802967906,1.314727100189762e-10,3.352994536187648e-05,2.3309774028051143e-05,0.9998,0.9090909090909091,0.5263157894736842,0.6666666666666666,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,23.0,2.127659574468085,3.206489571708,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,200,0.4,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,57,39,"[18, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.03267547600000853,0.03282995388887381,0.03256624300001931,0.03349232999994456,0.0003045400791337011,"[0.032658, 0.032566, 0.032664, 0.032683, 0.033492, 0.033098, 0.032988, 0.032675, 0.032646]",0.008921315999941726,0.008963794333314783,0.00889638199998899,0.009178958000006787,9.148272976336488e-05,"[0.008896, 0.009179, 0.009027, 0.008985, 0.008938, 0.008905, 0.008921, 0.008902, 0.00892]",3.6626295941340903,3.5479237403630384,3.764713565580481,60,optimal,nan,0.9413604736328125,0.7056598663330078,117.46792686409107,117.46792686375755,2.8391966915100835e-12,3.181203403368471e-06,2.7078848901830743e-06,1.0,0.9318181818181818,0.43157894736842106,0.5899280575539568,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,18.0,1.7543859649122806,2.3115325041404358,1.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.05,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.01749831600000107,0.017488026555535423,0.017359403000000384,0.01755411900001036,5.996409562541336e-05,"[0.017554, 0.01754, 0.017534, 0.017478, 0.017514, 0.01747, 0.017359, 0.017445, 0.017498]",0.0182035679999899,0.01819406966666924,0.018099086000006537,0.018319923000035487,6.837279832890243e-05,"[0.018204, 0.018117, 0.018099, 0.018246, 0.01832, 0.01817, 0.01823, 0.018208, 0.018153]",0.961257485346322,0.9475696486260754,0.9698898054854272,31,optimal,nan,0.9413604736328125,1.4789066314697266,106.9384085608898,106.9384085608898,0.0,0.0,0.0,1.0,0.05461901550910317,0.8526315789473684,0.10266159695817491,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,x86_64,none,0.3.0,2.4.4,32,1,balanced,100,500,0.1,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.03197972500004198,0.032052017888885426,0.03192273499996645,0.032360845999960475,0.0001446943292062153,"[0.032172, 0.03198, 0.031958, 0.031943, 0.031923, 0.03195, 0.03212, 0.032361, 0.032062]",0.033184827000013684,0.03342808966667437,0.032845260999920356,0.035319577999985086,0.0007529755982404421,"[0.03307, 0.032845, 0.03288, 0.033104, 0.033185, 0.033549, 0.033518, 0.033382, 0.03532]",0.9636851504462806,0.9038254930446771,0.9852516014422581,58,optimal,nan,0.9413604736328125,1.4789924621582031,111.25960182000796,111.25960182000796,0.0,0.0,0.0,1.0,0.1807511737089202,0.8105263157894737,0.2955854126679463,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
