F_max,blas_threads,ceiling,cubic_gain,headroom,lambda,max_block,max_frac_of_p,n_blocks,n_over_p,oracle_F_max,p,regime,rtol,seed,support_f1,tol,true_n_blocks
1.0,8,1.0,1.0,0.0,0.02,100,1.0,1,2,0.2,100,balanced,1e-05,0,0.049716292893812485,1e-07,5
1.0,8,1.0,1.0,0.0,0.04,100,1.0,1,2,0.2,100,balanced,1e-05,0,0.06275378368401624,1e-07,5
1.0,8,1.0,1.0,0.0,0.06,100,1.0,1,2,0.2,100,balanced,1e-05,0,0.07858546168958744,1e-07,5
1.0,8,1.0,1.0,0.0,0.08,100,1.0,1,2,0.2,100,balanced,1e-05,0,0.10347174948944861,1e-07,5
1.0,8,1.0,1.0,0.0,0.1,100,1.0,1,2,0.2,100,balanced,1e-05,0,0.13594040968342644,1e-07,5
1.0,8,1.0,1.0,0.0,0.12000000000000001,100,1.0,1,2,0.2,100,balanced,1e-05,0,0.18518518518518517,1e-07,5
1.0,8,1.0,1.0,0.0,0.13999999999999999,100,1.0,1,2,0.2,100,balanced,1e-05,0,0.24220183486238533,1e-07,5
0.99999896939091,8,1.0306101521283646,1.0306090899721736,1.0306090899581122e-06,0.16,99,0.99,2,2,0.2,100,balanced,1e-05,0,0.31143552311435524,1e-07,5
0.9999941682801091,8,1.166350779997084,1.1663439781660407,5.8317198908808265e-06,0.18,95,0.95,6,2,0.2,100,balanced,1e-05,0,0.39365079365079364,1e-07,5
0.9999843967204743,8,1.4185020901628298,1.4184799568782094,1.5603279525655545e-05,0.19999999999999998,89,0.89,12,2,0.2,100,balanced,1e-05,0,0.4959349593495935,1e-07,5
0.9999779898438851,8,1.5721886123234432,1.5721540082066439,2.2010156114915524e-05,0.22,86,0.86,15,2,0.2,100,balanced,1e-05,0,0.5687203791469193,1e-07,5
0.9993141254200019,8,2.5705817483554703,2.568818651678466,0.0006858745799981358,0.24,73,0.73,20,2,0.2,100,balanced,1e-05,0,0.6486486486486486,1e-07,5
0.997093023255814,8,5.694241982507289,5.677688953488372,0.0029069767441860517,0.26,56,0.56,26,2,0.2,100,balanced,1e-05,0,0.6628571428571429,1e-07,5
0.9930178432893716,8,15.625,15.515903801396432,0.006982156710628407,0.28,40,0.4,34,2,0.2,100,balanced,1e-05,0,0.6829268292682926,1e-07,5
0.9940510104903308,8,16.858005023685497,16.757716928645642,0.005948989509669156,0.30000000000000004,39,0.39,39,2,0.2,100,balanced,1e-05,0,0.6923076923076923,1e-07,5
0.8773853915332309,8,125.0,109.67317394165387,0.12261460846676908,0.32,20,0.2,46,2,0.2,100,balanced,1e-05,0,0.6845637583892618,1e-07,5
0.8675689349860866,8,145.79384749963552,126.48621300278269,0.13243106501391344,0.34,19,0.19,50,2,0.2,100,balanced,1e-05,0,0.6482758620689655,1e-07,5
0.6649515738498789,8,455.1661356395084,302.6634382566586,0.3350484261501211,0.36000000000000004,13,0.13,54,2,0.2,100,balanced,1e-05,0,0.6241134751773051,1e-07,5
0.7846428571428572,8,455.1661356395084,357.14285714285717,0.2153571428571428,0.38,13,0.13,56,2,0.2,100,balanced,1e-05,0,0.60431654676259,1e-07,5
0.5432190760059612,8,1371.7421124828531,745.156482861401,0.4567809239940388,0.4,9,0.09,59,2,0.2,100,balanced,1e-05,0,0.6029411764705882,1e-07,5
0.5822683706070287,8,1371.7421124828531,798.7220447284345,0.41773162939297126,0.42000000000000004,9,0.09,60,2,0.2,100,balanced,1e-05,0,0.5925925925925926,1e-07,5
0.5995065789473685,8,1371.7421124828531,822.3684210526316,0.4004934210526315,0.44,9,0.09,61,2,0.2,100,balanced,1e-05,0,0.582089552238806,1e-07,5
0.6177966101694915,8,1371.7421124828531,847.457627118644,0.3822033898305085,0.46,9,0.09,65,2,0.2,100,balanced,1e-05,0,0.5384615384615384,1e-07,5
0.6838649155722326,8,1371.7421124828531,938.0863039399625,0.3161350844277674,0.48000000000000004,9,0.09,69,2,0.2,100,balanced,1e-05,0,0.49206349206349204,1e-07,5
0.7036679536679536,8,1371.7421124828531,965.2509652509652,0.29633204633204635,0.5,9,0.09,72,2,0.2,100,balanced,1e-05,0,0.4552845528455284,1e-07,5
