machine,cpu,gpu,gglasso,numpy,logical_cores,blas_threads,regime,p,n_samples,lambda,seed,true_sparsity,true_n_blocks,true_sizes_json,gen_style_requested,gen_n_powerlaw,gen_n_erdos,gen_n_direct,detected_n_blocks,detected_singletons,detected_sizes_json,t_admm_median,t_admm_mean,t_admm_min,t_admm_max,t_admm_std,t_admm_trials_json,t_block_median,t_block_mean,t_block_min,t_block_max,t_block_std,t_block_trials_json,algorithmic_speedup,speedup_lo,speedup_hi,admm_iterations,admm_status,block_iterations,admm_peak_mem_mb,block_peak_mem_mb,obj_admm,obj_block,obj_rel_gap,max_abs_error,max_rel_error,support_agreement,support_precision,support_recall,support_f1,trials,warmup,tol,rtol,max_iter,true_block_min,true_block_max,true_block_mean,true_block_std,true_block_median,detected_block_min,detected_block_max,detected_block_mean,detected_block_std,detected_block_median
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.05,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.054350300000010066,0.05415617777777647,0.05070219999998926,0.057182099999977254,0.0021273008800885887,"[0.05435, 0.055547, 0.055563, 0.057182, 0.052191, 0.054335, 0.051901, 0.055634, 0.050702]",0.05582010000000537,0.05622006666666519,0.053284000000019205,0.06159530000002178,0.0025941344033285465,"[0.055039, 0.056065, 0.054133, 0.054536, 0.053284, 0.05582, 0.05656, 0.058947, 0.061595]",0.9736689830366632,0.823150467648852,1.0731570452660582,27,optimal,nan,0.9413604736328125,1.4787940979003906,101.52787385372974,101.52787385372974,0.0,0.0,0.0,1.0,0.035806729939603106,0.8736842105263158,0.06879403232490676,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.1,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.08960089999999354,0.08995777777778358,0.08608090000001312,0.0932650000000308,0.00235885583799983,"[0.088771, 0.090682, 0.089097, 0.089601, 0.087938, 0.086081, 0.090965, 0.093221, 0.093265]",0.0894385000000284,0.09083618888888623,0.08799670000001925,0.09878489999999829,0.003245379328152084,"[0.098785, 0.092485, 0.089124, 0.087997, 0.090618, 0.090651, 0.089036, 0.089439, 0.08939]",1.0018157728491097,0.8713973491901557,1.0598692905530593,43,optimal,nan,0.9413604736328125,1.4786224365234375,108.29907913160423,108.29907913160423,0.0,0.0,0.0,1.0,0.07357212003872217,0.8,0.1347517730496454,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.15,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.12292569999999614,0.12206275555555142,0.1105476999999837,0.1297101999999768,0.006507598069776225,"[0.118651, 0.110548, 0.118543, 0.126515, 0.126975, 0.12971, 0.128626, 0.122926, 0.116071]",0.11911240000000589,0.1215150444444488,0.11644889999996622,0.13342080000001033,0.005411541631121309,"[0.125543, 0.11765, 0.117847, 0.118381, 0.116449, 0.119112, 0.121163, 0.12407, 0.133421]",1.032014299098919,0.8285642118768224,1.1138808524598722,59,optimal,nan,0.9413604736328125,1.478708267211914,111.35941053556645,111.35941053556645,0.0,0.0,0.0,1.0,0.16706443914081145,0.7368421052631579,0.2723735408560311,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.2,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,4,3,"[97, 1, 1, 1]",0.10655630000002247,0.10615501111110841,0.10345039999998562,0.10817979999995941,0.0017559564925094602,"[0.10345, 0.104715, 0.105242, 0.10433, 0.10818, 0.107449, 0.108034, 0.106556, 0.107438]",0.11192499999998518,0.11286958888888421,0.10591019999998252,0.1209908000000155,0.005616801473137045,"[0.120991, 0.119463, 0.11325, 0.110942, 0.107643, 0.107263, 0.118439, 0.10591, 0.111925]",0.9520330578515666,0.8550269937877291,1.0214294751589297,55,optimal,nan,0.9413604736328125,1.4067935943603516,113.09216012886125,113.09216011965492,8.140556946208306e-11,6.866934314064821e-06,5.594387459574274e-06,1.0,0.3544973544973545,0.7052631578947368,0.47183098591549294,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,97.0,25.0,41.569219381653056,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.25,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,17,10,"[73, 5, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.1019815999999878,0.102786911111107,0.10071719999996276,0.10667790000002242,0.0020390294434246936,"[0.101797, 0.101982, 0.101238, 0.101518, 0.100717, 0.10565, 0.106678, 0.102744, 0.102759]",0.08534720000000107,0.08493194444444423,0.08321130000001631,0.08640469999994593,0.0011454472806375102,"[0.086405, 0.08554, 0.083592, 0.086085, 0.085347, 0.084907, 0.083211, 0.085529, 0.083773]",1.1949027033105541,1.1656449244083456,1.2820121786344103,55,optimal,nan,0.9413604736328125,0.9112606048583984,114.27900201853775,114.27900050335995,1.3258584458671315e-08,0.0002799109872018146,0.00023264612043975095,1.0,0.6213592233009708,0.6736842105263158,0.6464646464646464,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,73.0,5.882352941176471,16.813448234151476,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.3,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,36,20,"[42, 5, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.09820280000002413,0.0979695666666708,0.09552439999998796,0.1006040999999982,0.001648896139094429,"[0.097778, 0.099149, 0.098203, 0.100604, 0.098214, 0.09924, 0.095672, 0.097342, 0.095524]",0.032043199999975513,0.032146844444450075,0.03048630000000685,0.03365739999998141,0.0011115408236977665,"[0.032209, 0.031305, 0.031269, 0.030486, 0.033657, 0.033228, 0.031604, 0.032043, 0.03352]",3.064700154794127,2.8381396067444524,3.299977366882029,53,optimal,nan,0.9413604736328125,0.7293252944946289,115.181471774579,115.18147175794846,1.4438552217935692e-10,3.418922442624539e-05,2.841614222702562e-05,1.0,0.7714285714285715,0.5684210526315789,0.6545454545454547,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,42.0,2.7777777777777777,6.69208118729024,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.35,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,50,29,"[15, 8, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.10658259999996744,0.10911290000000741,0.10325399999999263,0.1166704999999979,0.005452681797982197,"[0.106008, 0.103254, 0.110413, 0.114979, 0.115815, 0.11667, 0.106583, 0.104025, 0.104269]",0.013312600000006114,0.013350155555542642,0.012321299999996427,0.015124299999968116,0.0008976639058013864,"[0.012737, 0.013779, 0.013313, 0.013361, 0.012321, 0.012404, 0.012965, 0.014147, 0.015124]",8.006144554776565,6.827026705382087,9.469008951980046,54,optimal,nan,0.9413604736328125,0.7032470703125,115.89561399412352,115.89561399020542,3.38071738887068e-11,1.2454988412513579e-05,1.0351879228561869e-05,1.0,0.9230769230769231,0.5052631578947369,0.653061224489796,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,15.0,2.0,2.23606797749979,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,200,0.4,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,56,36,"[14, 8, 4, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.09629590000002963,0.09623705555556701,0.0907971000000316,0.10033750000002328,0.003248113109217345,"[0.09441, 0.093375, 0.094263, 0.096296, 0.090797, 0.098952, 0.09798, 0.099724, 0.100338]",0.012771100000009028,0.012821155555545576,0.01173209999996061,0.014167499999985012,0.0006555964023544406,"[0.011732, 0.013224, 0.01237, 0.012806, 0.012974, 0.014167, 0.01263, 0.012771, 0.012715]",7.540141413031106,6.408830068828492,8.55239045016324,50,optimal,nan,0.9413604736328125,0.7038955688476562,116.46853356451021,116.4685335556647,7.594758527644676e-11,2.3210600945067217e-05,1.9291333704016025e-05,1.0,0.9130434782608695,0.4421052631578947,0.5957446808510638,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,1.0,14.0,1.7857142857142858,1.9974473505870802,1.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,500,0.05,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.05908110000001443,0.0595438333333315,0.05602290000001631,0.0629193999999984,0.0021221410980432624,"[0.060237, 0.058742, 0.062299, 0.059081, 0.057851, 0.058932, 0.062919, 0.05981, 0.056023]",0.06316769999995131,0.06298059999999674,0.058144400000003316,0.06664819999997462,0.0022500049094294,"[0.063918, 0.061889, 0.062811, 0.062779, 0.066648, 0.063317, 0.063168, 0.064151, 0.058144]",0.9353055438152722,0.8405763396466467,1.082123127936565,31,optimal,nan,0.9413604736328125,1.478708267211914,107.91832185075518,107.91832185075518,0.0,0.0,0.0,1.0,0.05172413793103448,0.8210526315789474,0.09731752963194013,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
primary,"AMD64 Family 25 Model 124 Stepping 0, AuthenticAMD",NVIDIA GeForce RTX 4050 Laptop GPU,0.3.0,2.4.4,12,8,balanced,100,500,0.1,0,0.9808080808080808,5,"[20, 20, 20, 20, 20]",powerlaw,5,0,0,1,0,[100],0.10895669999996471,0.1101786111111096,0.10622920000002978,0.11484059999997953,0.003380071713520033,"[0.106418, 0.108637, 0.114841, 0.108957, 0.107269, 0.112172, 0.112842, 0.114243, 0.106229]",0.10649879999999712,0.10688179999999647,0.10215030000000525,0.10962890000001835,0.002357644996075025,"[0.105418, 0.10215, 0.106374, 0.106441, 0.106807, 0.109377, 0.109629, 0.109241, 0.106499]",1.0230791332857052,0.9689890165824158,1.1242316468965206,55,optimal,nan,0.9413604736328125,1.4787511825561523,110.92710146817345,110.92710146817345,0.0,0.0,0.0,1.0,0.20380434782608695,0.7894736842105263,0.3239740820734341,9,2,1e-07,1e-05,1000,20.0,20.0,20.0,0.0,20.0,100.0,100.0,100.0,0.0,100.0
